Series Name,"Country Name","1990","2000","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
GDP per capita (current US$),"Afghanistan","","","380.400955186598","384.131681276838","458.955781585831","569.940728793286","622.379654358451","690.842629014956","653.347488111011","633.947864294639","594.323081219966",""
GDP per capita (current US$),"Albania","639.463899289892","1175.78898073398","3603.01368536638","4370.53964653148","4114.13654490945","4094.35883191918","4437.8119990258","4247.83985201907","4412.34557813421","4568.56882650826","3945.21758150914",""
GDP per capita (current US$),"Algeria","2394.42060842261","1757.01197444151","3939.55993939808","4912.25194081995","3875.82209542426","4473.48644568115","5447.40397556569","5583.61615950131","5491.6144135648","5484.0668056148","4206.03123244958",""
GDP per capita (current US$),"American Samoa","","","","","","","","","","","",""
GDP per capita (current US$),"Andorra","18877.8133198897","21432.976460892","47255.9552101728","46734.2682819437","42704.0194268188","39641.746008498","41627.4629979063","39666.043036198","42804.2026352761","","",""
GDP per capita (current US$),"Angola","901.650074637241","606.272292244341","3151.02243105289","4242.36306234092","3678.94765447179","3886.47935432524","4744.98762949589","5086.8484258086","5327.14889219232","5232.76230029543","4101.47215182964",""
GDP per capita (current US$),"Antigua and Barbuda","6325.24101654719","10094.7590646488","15276.0682646698","15786.1728395062","13979.2626925883","13017.3103875487","12817.8415733094","13525.616220134","13342.0849977054","13432.0792079208","13714.7319616988",""
GDP per capita (current US$),"Argentina","4318.77456784047","7669.27370858434","7226.27029452745","8992.58961919674","8198.56611136286","10332.0323662966","12800.2018563295","13040.306395228","13027.2048221392","12324.9387857728","13431.8783398577",""
GDP per capita (current US$),"Armenia","636.680689996499","621.424826318947","3080.97095943572","3919.97547381061","2915.5839059087","3124.78401786195","3417.17183599915","3565.5175749254","3716.82892254464","3861.91557044458","3489.12768956995",""
GDP per capita (current US$),"Aruba","","20619.5658496388","25921.5382341406","27549.8894224976","24640.4212441218","24289.1415161326","25353.7875446441","","","","",""
GDP per capita (current US$),"Australia","18221.6912110476","21665.1154539573","40957.8304392487","49628.1151270179","42715.1322619629","51845.6548605562","62216.5471294133","67646.1038529626","67652.6832146189","61995.8296976","56310.9629933721",""
GDP per capita (current US$),"Austria","21628.760231013","24517.2674460147","46586.6502529235","51386.3766511975","47654.1872090808","46659.8408181344","51123.5613291663","48333.572726737","50504.7153221994","51322.6399728758","43774.985173612",""
GDP per capita (current US$),"Azerbaijan","1237.324491677","655.097432602586","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7393.77187697623","7811.6214184582","7886.45914367274","5496.34464026248",""
GDP per capita (current US$),"Bahamas, The","12350.8804781187","21241.1653927108","24306.1424243044","23657.365306222","22043.0125711709","21920.5165867583","21514.8986531628","22554.5157201628","22554.4541222366","22497.4497068298","22817.2308572518",""
GDP per capita (current US$),"Bahrain","8528.75976731759","13590.5210501438","21167.6187062133","23043.0253174017","19166.7082382358","20386.0175551116","22033.9106201625","23057.7675759542","24113.5248437757","24514.9991306142","22600.2140981035",""
GDP per capita (current US$),"Bangladesh","298.144991987964","406.531740491075","543.082263122362","618.075883559283","683.614422272329","760.331935200195","838.547801702232","858.933362587621","954.396399715624","1086.80008676935","1211.70153057661",""
GDP per capita (current US$),"Barbados","7728.50791369814","11568.4959419239","16462.2471099718","16570.5593507827","16523.3829717259","15906.1893174632","15534.1733043761","15385.1163692956","15473.0980649523","15360.0618007811","15429.3404640853",""
GDP per capita (current US$),"Belarus","1704.74030406477","1273.0491239487","4735.95688918873","6376.17311491284","5176.04470138203","5818.8548592158","6305.77366247653","6721.83490773968","7722.12335060436","8025.30435552468","5740.45649479562",""
GDP per capita (current US$),"Belgium","20710.6443430806","23207.4059110078","44403.7668991523","48424.5755963147","44880.5730196227","44382.8189867028","47699.8447984423","44740.5832481477","46508.1187191213","47346.792823245","40324.0277657215",""
GDP per capita (current US$),"Belize","2202.32255587784","3364.46452254642","4324.93438917012","4473.41790859737","4263.80711218649","4348.01953874968","4522.86186187855","4674.29344667534","4723.5943547037","4884.36856220286","4878.72126724745",""
GDP per capita (current US$),"Benin","391.893429442774","369.700868089261","685.551675107742","794.870176064085","768.013476447657","732.953622726674","799.03555913143","811.216240825005","887.089966726358","915.926640778784","762.051205441965",""
GDP per capita (current US$),"Bermuda","26841.5197383946","56284.1686478094","90849.5869806436","93605.7481653976","88463.3128161375","88207.3275597322","85973.158416455","85458.455507886","85748.0654143782","","",""
GDP per capita (current US$),"Bhutan","559.821618551415","778.391266016094","1755.16170904287","1810.57617704401","1786.81067200588","2201.29307778936","2485.78705216849","2452.15158793741","2383.04472990264","2560.52213174131","2655.99889161858",""
GDP per capita (current US$),"Bolivia","709.948654147923","1007.00286888451","1389.62929501376","1736.92741046673","1776.86091188357","1981.16631274669","2377.70694037817","2645.29199871713","2948.03247234224","3124.08543446758","3076.79181060881",""
GDP per capita (current US$),"Bosnia and Herzegovina","","1451.66400183674","4107.99623197216","4974.66226666137","4586.20631315947","4475.08813004565","4860.78181134244","4494.64064038047","4748.04069226421","4852.31864873611","4249.3303131949",""
GDP per capita (current US$),"Botswana","2747.20843825723","3333.1795496534","5666.6378477926","5561.89824282253","5115.12146387069","6243.99883079196","7504.84847630844","6885.84359759929","6806.65893929029","7153.44785946834","6360.13822018837",""
GDP per capita (current US$),"Brazil","3071.62795314411","3728.50801001529","7246.87010479067","8706.81914190374","8474.88106576607","11121.4209541496","13039.1216499582","12157.3082176473","12071.7779871352","11728.7993875108","8538.5899749574",""
GDP per capita (current US$),"British Virgin Islands","","","","","","","","","","","",""
